Location,STATION,NAME,DATE,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN
Bozeman,USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1959,227,,27,-26,,7,1.27,93,7872,19.61,90.6,43.1,55,31
Bozeman,USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1960,288,129,34,-17,12,8,0.71,98,8396,14.64,94.3,43.2,56.1,30.4
Bozeman,USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1961,380,116,31,-23,7,8.5,0.95,99,7253,16.15,88.7,44.8,57.4,32.2
Bozeman,USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1962,120,129,23,-30,22,7.2,1.45,89,8614,20,71.4,43.4,55.6,31.2
Bozeman,USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1963,,,,,,,,,7598,,,,,
Bozeman,USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1964,230,152,37,-29,12,13,1.33,93,,19.89,115.4,43.1,55.6,30.7
Bozeman,USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1965,114,110,31,-13,14,11,1.38,90,8081,19.23,91.9,43,55.1,31
Bozeman,USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1966,271,103,34,-14,11,8.5,1.13,93,7795,14.67,89.1,44.7,57.3,32.1
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",1967,134,99,31,-20,10,6,0.97,92,,16.71,83.5,43.1,55.5,30.6
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",1968,78,,28,-29,,6,0.78,90,8109,17.91,63.9,42,54.7,29.3
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",1969,189,112,29,-30,13,8,1.78,100,8904,19.81,61.6,41.9,55.6,28.2
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",1970,250,78,26,-24,6,5.5,1.15,95,7904,18.85,60.4,43.2,55.7,30.6
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",1971,169,97,32,-23,10,8,1.32,92,8217,14.24,72.4,42.6,55.2,30
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",1972,96,88,23,-28,6,6.1,0.64,91,8078,15.48,59.4,42.7,55.5,29.9
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",1973,123,117,31,-30,12,7,1.03,93,8834,15.98,91.5,42.3,55.3,29.2
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",1974,149,84,22,-30,8,6,1.18,91,7912,13.29,51,43.7,57.1,30.4
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",1975,112,164,48,-22,12,6,0.97,92,8728,21.49,109.6,40.7,53.4,27.9
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",1976,99,93,18,-20,9,4.1,0.88,92,7939,14.34,40.6,44.2,57.6,30.7
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",1977,124,97,25,-23,9,5.5,0.96,91,7653,17.32,58.9,43.5,56.6,30.4
Bozeman,USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1978,233,136,31,-28,12,7,1.57,92,7760,20.35,77.7,43.1,54.9,31.3
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",1979,140,115,27,-31,20,10.9,1.79,93,9159,12.88,69.9,42.5,56.1,29
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",1980,79,129,22,-32,15,11,1.92,90,7911,18.5,77.4,43.5,56.6,30.4
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",1981,142,68,20,-30,7,5,1.61,95,7298,19.23,51.4,45.1,58.3,31.9
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",1982,114,135,33,-24,10,6.8,1.1,90,7880,18.84,94.8,41.4,53.9,28.9
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",1983,177,64,15,-39,11,7,1.17,95,7949,20.18,47,43.1,55.6,30.6
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",1984,130,112,21,-21,9,5.4,1.56,90,8378,15.81,62.2,42.8,55.1,30.5
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",1985,227,143,20,-30,13,7.8,0.58,95,8528,11.68,54.9,40.8,54.3,27.4
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",1986,141,94,18,-22,16,6,0.91,93,8180,17.15,50,44.5,57.4,31.7
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",1987,99,64,14,-16,6,5,0.84,91,7508,15.58,33.1,45.2,59.1,31.4
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",1988,294,109,23,-14,8,8,2.18,94,7664,14.2,57.6,45.1,59,31.3
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",1989,145,109,25,-35,11,6.8,0.8,93,8391,16.83,67.5,42.2,55.3,29
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",1990,190,93,24,-31,13,9,0.84,98,7767,15.46,75.9,44,57.5,30.6
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",1991,227,73,14,-18,11,16,0.87,93,7738,16.04,65.6,44.5,57.2,31.7
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",1992,,62,17,-23,10,4,1.93,,,19.13,40.9,,,31.8
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",1993,31,112,23,-18,18,9,2.08,91,8521,21.37,66.5,41.3,53.8,28.7
Bozeman,USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1994,334,127,28,-20,13,8,1.81,93,,17.81,86.6,46.5,59.4,33.6
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",1995,,,27,-17,,8,1.65,,,20.22,80.4,,,30.9
Bozeman,USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1996,339,128,40,-24,28,14,1.04,94,,18.17,118.8,43.6,55.8,31.4
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",1997,106,,19,-25,,10,1.05,90,,21.17,72.5,43.8,57,30.6
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",1998,323,,0,-23,,0,0.97,97,7540,15.72,0,45.6,59.2,32.1
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",1999,231,0,0,-1,0,0,0.66,97,6802,12,0,46.2,60.3,32
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",2000,287,,,-19,,,0.8,101,6642,16.35,,44.7,59,30.5
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",2001,,,0,-16,,0,2.54,,8048,11.51,0,,,31.3
Bozeman,USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",2002,224,97,25,-15,11,8.2,1.87,100,7628,17.96,63.1,43.4,57.1,29.6
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",2003,339,,0,-27,,0,0.81,100,7213,13.7,0,45,59.4,30.7
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",2004,177,,0,-27,,0,0.95,95,7409,15.11,0,45.1,58.6,31.6
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",2005,,,,-20,,,,,,,,,,31.2
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",2006,258,,,-23,,,1.45,98,7264,15.07,,45.4,59.1,31.6
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",2007,428,,,-19,,,1.05,101,7247,17.82,,45.5,58.5,32.4
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",2008,207,,,-22,,,0.74,96,7632,15.41,,43.5,56.4,30.7
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",2009,202,,4,-23,,16.2,1.1,91,7563,17.42,22.2,43.6,55.8,31.3
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",2010,157,,0,-17,,0,0.78,95,8163,17.92,0,43.6,55.7,31.5
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",2011,208,,,-16,,,,93,8115,,,44,56,32.1
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",2012,359,,,-4,,,,96,6808,,,47.1,60.1,34.1
Bozeman,USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",2013,266,121,18,-22,11,6,1.54,92,7410,18.17,57.5,44.3,55.9,32.6
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",2014,188,,,-25,,,1.03,90,7783,17.43,,44.3,56.1,32.5
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",2015,246,,,-10,,,0.72,96,6554,13.99,,46.8,59.1,34.5
Bozeman,USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",2016,269,84,23,-25,13,5.1,0.75,92,7027,18.59,62.8,46.1,58,34.2
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",2017,351,,,-16,,,1.27,93,,17.56,,44.6,56.8,32.4
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",2018,172,,,-12,,,1.56,97,7946,17.69,,43.7,55.6,31.8
Bozeman,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",2019,163,,,-26,,,0.78,93,8696,18.93,,41.2,52.7,29.8
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1949,400,,,-39,,,0.99,104,8205,11.85,,43.3,58.5,28.1
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1950,252,,,-34,,,1.01,99,8453,12.7,,41.7,55,28.4
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1951,379,,,-32,,,1.07,101,8341,13.28,,41.5,55.1,28
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1952,,,,,,,,,,,,,,
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1953,401,,,-8,,,0.67,101,6930,9.27,,48.3,63.1,33.5
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1954,412,,,-37,,,0.78,103,7139,7.49,,45.5,59.8,31.2
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1955,454,89,,-28,13,,1.13,101,7388,15.04,,42.9,56.8,29
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1956,473,92,15,-32,10,4,0.44,103,8487,8.47,34.5,45.3,59.6,31
